name,suburb,category,description,address
Soxstar,Gungahlin,Retail,"Sales of socks, scarf, hat",Site H The Marketplace 30 Hibberson st
Tip Toe Nail Salon,Dickson,Personal care,"We are Tip Toe Nail Salon team.
We are here and waitng for you to come and get the nails done!",shop 1/4 20 Dickson Place
Canberra Glassworks,Kingston,Retail,"Canberra Glassworks is Australia’s leading centre for contemporary glass art, craft and design. Housed in the Kingston Powerhouse, this creative cultural attraction is a dedicated glassmaking facility offering tours, exhibitions, creative workshops and handmade glass in the Glassworks’ shop.",11 Wentworth Avenue
Super Bao,Dickson,Food and drinks,"Super Bao restaurant is your destination for best, unique and delicious handmade baos in town.
With our latest food adventures, comes a wider and more diverse modern Asian menu inspired by traditional Chinese food and signatures flavors around Asia.",6 Cape Street
Ari Rex - Photographer,Gungahlin,Things to do,"Take your night sky photography to the next level.

Learn how to capture stunning Milky Way nightscapes.

Expert instruction is given by award-winning photographer Ari Rex.

If you’re passionate about astrophotography, this workshop is for you!",PO BOX 1206
Hualong Supermarket,Harrison,Retail,"Asian grocery and all kinds of fresh food.
Plus small goods, hardware and daily usages.",Unit 84/70 Nullarbor Avenue
Super Boober,Theodore,Food and drinks,"Super Boober is every mothers’ superhero, here to help them survive the demands of motherhood with nutritious and delicious lactation and pregnancy products. Naturally supporting mothers throughout their birth and breastfeeding journey to boost breast milk supply and support birth.",2 Dyett Circuit
Kathmandu beauty and hair salon,Gungahlin,Retail,We provide all beauty and hair services at gungahlin.,Go1/6 gribble Street gungahlin
designher beauty,Charnwood,Personal care,"Our boutique beauty studio is an inclusive, relaxing and private space where you can unwind and be taken care of.

Our menu caters for a wide range of beauty treatments with a special focus on treating skin concerns and eyebrow styling.

Appointments avalible outside trade hours on requests.
","7/55 charnwood place, fadco building"
Let's Be Natural,Mawson,Food and drinks,"Offering a diverse range of healthy and eco-friendly products at great prices. Enjoy our extensive range of bulk/unpackaged items. Bring Your Own Containers for whole foods and cleaning products. Indulge with gentle low toxin skincare, cosmetics, personal items and low impact eco living options.","Shop 2, 77 Mawson Place"
A Tiny Studio,Canberra,Personal care,"A Tiny Studio provides personal training services to help you get physically healthy, fit and strong.
Utilising functional fitness techniques to fully engage the body and help it build strength and resilience.
I provide one on one training or morning group classes.
Start you journey here.

",186B/15 Coranderrk St
Ginger and Spice,Gungahlin,Food and drinks,"Peking duck and dumpling are our signature dishes, strongly recommend 👍",110 hibberson street
Cafe friends,Griffith,Food and drinks,Cafe and restaurant and take away food,18 Furneaux Street
Salut! Baroque,Hall,Things to do,Salut! Baroque has delighted Canberra audiences for over 25 years in presenting the best of baroque with Australia’s finest baroque musicians and releasing 10 CDs. Concerts are held in the heritage setting of Albert Hall in Yarralumla.,19 Gladstone Street
Quan's kitchen,Holt,Food and drinks,Chinese restaurant,122/68 Hardwick Crescent Holt ACT
Functional Fitness,Mitchell,Personal care,Humans are built to adapt. Unfortunately that means we can also learn bad habits. Our training system addresses your movement patterns and encourages a return to what is natural and efficient. We believe a healthy body and mind has a balance of working out and working in.,Unit 1A 67/71 Vicars street
TJM Canberra,Fyshwick,Retail,"TJM Canberra is a family owned business that has a passion for all things 4wd's. We specialise in work, play and touring. We sell products that enhances your vehicle performance and utilises all aspects of it’s capabilities. Drop in and talk all things 4wds with us.",26 Pirie Street
Men's Biz,Canberra,Personal care,Full-service men's barber with a large range of men's grooming products.,"Canberra Centre Shop DG21, Petrie Plaza"
Dumpling King Canberra City,Canberra,Food and drinks,Northern Chinese cuisine specialize in dumplings and noodles.,2/5 Garema Place
LAVENDER BEAUTY (Lavender Nails),Phillip,Retail,"Artificial nails, Pedicure and Manicure, Dipping powder, Waxing and Tinting, Eyelash extensions.",Westfield Woden Shop 0L78 Corinna Street
Chic Gourmet,Dickson,Food and drinks,Chinese Restaurant,13 Woolley St
Pandora Tuggeranong,Tuggeranong,Retail,Jewellery Retail,"K007, Tuggeranong Southpoint,"
National Press Club of Australia,Barton,Food and drinks,"The National Press Club is home to a range of delicious contemporary dining options, suited to every member and occasion. Come join us for Thursday and Friday night Jazz.","16 National Circuit, Suite 1"
Dickson Dumpling House,Dickson,Food and drinks,Best Dumplings in town !!!,77/2 Cape Street
ABOUT FACE Beauty & Anti Aging Salon,Greenway,Retail,"A modern salon with traditional skin care to advanced anti aging treatments. IPL rejuvenation & skin correction, permanent hair reduction, skin needling, fat cavitation, waxing, tinting/brow henna, LED light, hydrafacial, micro-dermabrasion, laser, skin peel, ear piercing, dermaplaning, tatt removal",9-310 anketell st
Bambusa asian cuisine,Griffith,Food and drinks,We specialise in in house made dumplings and Chinese cuisine. Many vegetarian and gluten free options,36 Franklin Street
A Bite to Eat,Chifley,Food and drinks,One of Canberra's favorite cafes situated in the Woden Valley. Serving specialty coffee & food to treat your senses we are available 7 days for dine in or takeaway. With a range of inside & courtyard seating available we highly recommend booking to secure your spot in one Canberra's best - 6260 3703,Shop 8 Chifley Place
ABUY SUPERMARKET,Dickson,Retail,Ultimart is a grocery supermarket located in Dickson.,16 Woolley Street
Capital Chemist Kambah,Kambah,Retail,"Capital Chemist Kambah is a community pharmacy located in the Tuggeranong suburb of Kambah. We are a highly experienced, friendly team who look forward to assisting you with all of your healthcare needs!",Kambah Village Shopping Centre
Ziggys Fresh,Belconnen,Retail,Retail Fruit and Vegetable Market,31/10 Lathlain St
Mings Restaurant Chinese and Malaysian,Phillip,Food and drinks,"Ming’s is a long standing restaurant in Phillip/Woden, serving the community with the best Malaysian and Chinese meals. Ming’s is open from Tuesdays to Sundays for dine-in or takeaways,

providing a menu full of modern choices the whole family will savour.",7-11 botany st
Chinese Kitchen Dumpling House,Phillip,Food and drinks,"Handmade dumplings, Chinese BBQ and authentic Chinese dishes. Feel hungry? Dumplings is the way!",Shop G93 Westfield Plaza Woden
QUICK WOK,Greenway,Food and drinks,Chinese Take Away,Shop1-002 ANKETELL STREET
Honkytonks,City,Food and drinks,Honkytonks is a bar in Garema Place that’s inspired by the flavours of Central American and the Caribbean. We are a laid back venue where Cocktails and Tequila are our specialty - the red wine and white wine sangria pitchers both crowd favourites.,1/7-9 Garema Place
Savers Bazaar,Mawson,Retail,"Discount Variety Shop, Dollar Shop In Mawson",Shop3 73 Mawson PL
OfficeEssential Office National,Phillip,Retail,"All office needs include stationery, office furniture, office machines and ink toner cartridges plus printing service.",17 - 19 Altree Court
Across The Board Cake Decorating Pty Ltd,Greenway,Retail,"Across The Board Cake Decorating caters to ALL cake decorators. With cake decorating supplies for any occasion cakes, cupcakes and birthday cakes.
We also supply Naked Cakes (pre baked cakes for you to decorate) and have classes for a variety of ages.","191 - 203 Anketell St, Shop 22, Four Seasons House"
Samsara Women's Health Club,Wanniassa,Personal care,Samsara Women's Health Club is a centre for all ages. We offer personalised program for every workout and personal fitness training services alongside 24/7 gym access to all members. Our vision is to provide WOMEN OF ALL AGES with a safe and supportive environment in which they can achieve their fit,1st Floor 33 Gartside Street
Mega Convenience Store,Dickson,Retail,"Mega Convenience Store was founded in June 2008 and has a 13-year history.
In order to be able to meet the needs of Canberra consumers, Mega Asian Supermarket, based on the dietary habits of Canberra consumers, introduced imported foods from countries outside",75 Woolley St
KaransKloset,Dickson,Retail,"KaransKloset–Buy Better–Consume Less–Wear More

KaransKloset offers gently-worn designer, retro and vintage fashion. Specialising in stylish, one-off recycled clothes for women who love unique fashion. KaransKloset's customers enjoy colourful, expressive, affordable and fun pieces.",G2 Dickson Chambers Dickson Shops
Alibaba in Phillip,Phillip,Food and drinks,Alibaba kabab shop,6/48 Botany street
HEATING VENTILATION AND COOLING SERVICES PTY. LTD.,Canberra,Retail,"Service, sales and repairs to refrigerated air-conditioning and heating systems. We sell and recommend
Mitsubishi Electric Air-conditioners",99 Carlile St
Siam Twist,Hackett,Food and drinks,Cafe & Restaurant serving quality coffee with classic meals and unbelievable Thai food,"1/5 Hackett Pl,"
Shine Om,Page,Personal care,"Shine Om self-care range is handcrafted of natural and organic ingredients to create skincare, essential oil blends, and massage oils, safe for the whole family to support wellness throughout the home.",20 Braine Street
Loveofballoon,Gungahlin,Retail,"The flashlight flower balloons last for few weeks to few months, it’s a perfect gift for this Father’s Day. Order now and pick up later when you need it.",79/1 Anthony Rolfe Avenue
The coffee club Majura Park,Majura,Food and drinks,"The Coffee Club celebrates almost three decades of really good food, great service and excellent coffee.",18 Spitfire Avenue
Thai Chiang rai Kingston,Kingston,Food and drinks,"Named after Chiang Rai - a region in Northern Thailand. Thai Chiang Rai has consistently offered authentic and sometimes unique dishes that have impressed enough to see it win awards for Thai cooking in the ACT on a number of occasions.
",48 Giles st
Tokyo canteen,Kingston,Food and drinks,"Japanese inspired cafe offering Breakfast,Lunch, and Dinner(Ramen night)
",shop 4 34 Eyre
What the pho,Canberra,Food and drinks,"What The Phở"" offers authentic Vietnamese street foods infused with the flavours of Vietnam.
We are now located in:
- Shop 155-B5 Joplin Lane, Kambri at ANU, Acton ACT 2601","Shop 155-B5 Joplin lane, Kambri in"
UNIVERSITY PHARMACY,Canberra,Retail,For all your healthcare needs. We are open to the general public as well as staff & students at the ANU.,"156-B2 HEALTH & WELL BEING CENTRE, JOPLIN LANE, A.N.U."
Gungahlin & Jamison Plaza Travel Associates,Macquarie,Accommodation,"OFFICE LOCATIONS:
Gungahlin Travel Associates - 02 62410355
Shop 22, The Marketplace Gungahlin
30 Hibberson Street, Gungahlin ACT 2912

Jamison Plaza Travel Associates - 02 61602049
Shop B06, Jamison Plaza, Bowman Street
Macquarie ACT 2614

",See details above
ION DNA Electric Vehicles,Fyshwick,Retail,"ION DNA is Australia's first and Canberra's own dedicated Electric Vehicle Showroom. We stock a unique range of alternative affordable Nissan and Honda Electric Cars and are Canberra's premiere authorised stockist of Kaabo, NanRobot, e-Glide, Dualtron, Mercane & Apollo Electric scooters.",1/67 Gladstone Street
Mayfair Espresso cafe,Canberra,Food and drinks,Drop by our cozy cafe to try our delicious pastries and coffee. We also offer outdoor seating and takeout. Open for lunch. Hope to see you soon!,40 Marcus Clarke Street
Timber and Tailor Shop,Braddon,Retail,"Timber and Tailor is a curated design store focused on Australian Designers of largely small batch hand made goods. These include modern timber furniture, ceramics, contemporary jewellery, art, books, stationery and a range for littlies. We have many products from the local region.","Unit 67, 30 Lonsdale St"
Hachiko western Japanese fusion,Belconnen,Food and drinks,"Hachikō is an inspired from the movie named Hachi- ko. We provide loyalty, good food and exceptional customer service. Located in Belconnen, Hachikō is a relaxed and elegant spot serving some of the best Japanese fusion cuisines in Canberra. Situated just by the water.",8/114 Emu bank
Boost juice Tuggeranong/ Woden/ Fyshwick,Tuggeranong,Food and drinks,"Boost Juice has many variety of fresh Juices and smoothies

Vouchers can be redeemed at Tuggeranong, Woden and Fyshwick",K0015 Southpoint shopping centre
Holy Nails Spa/Queen Bee Beauty Studio,Dickson,Personal care,"we provide beauty treatments foe man and ladies: Hair, nails, lashes extension, lash lifting, waxing, body massage, facial. High quality services, competition prices. locate in Dickson shopping center",3/25 Dickson Place
Top Goods,Dickson,Retail,Healthy Food,Unit 2，29 Badham Street
CO.BAR AUS,Dickson,Food and drinks,"Chinese Skewer BBQ restaurant. More than 25 kinds of skewer BBQ including lamb, beef, chicken, seafood and vegetables. It also serves steam dumplings, pan fried dumplings and noodles.
",2/1 Woolley Street
Debacle,Braddon,Food and drinks,International Bar & Grill,137/24 Lonsdale Street
That Gelato Place,Weston Creek,Food and drinks,"Located outside the Southern entrance to Cooleman Court. We have over 100 flavours of gelato to take home and 42 available to try. Gelato Cakes, take home tubs and a variety of cones including Gluten free waffle.","Cooleman Court, Shop 10, 26 Brierly Street"
Bidgee Golf Shop,Kambah,Retail,On Course Golf Shop and Driving range,161 Kambah Pool Rd
Chatime,Phillip,Food and drinks,We are selling bubble tea and smoothies,kiosk 007/13 Keltie street
HOME&GIVING,Greenway,Retail,"Giftware, homeware shop
use in HOME&GIVING both GREENWAY SOUTHPOINT and WESTON COOLEMAN COURT shops","Shop 101, South Point Shopping Centre"
SHARETEA TUGGERANONG,Greenway,Food and drinks,Come in to enjoy yout favorite bubble tea!,"Kiosk K0019, South.Point Shopping Centre, Anketell St & Reed St"
Tuggeranong Therapeutic Massage,Fadden,Personal care,We have provided quality massage services from accredited practitioners at Fadden shops since 1999. Our massage therapists undertake a comprehensive history and assessment to establish a tailored treatment plan that achieves your health goals.,"Unit 4, 2 Hanlon Crescent"
Fook Lee Sheng Chinese Take Away,Fraser,Food and drinks,Fook Lee Sheng Chinese Take Away is a takeaway place that serves Chinese cuisine. It is family owned and operated.,"Shop 2, 4-8 Daley Cres"
Nassis Snack Bar,Fyshwick,Food and drinks,"A small local takeaway with a variety of delicious fried goodies located at Paragon Mall. Come and try our favourites; potato scallop. Crispy on the outside and soft on the inside. We serve sandwiches, brekkies, coffee and many more.","7 Paragon Mall, Gladstone Street"
ACT FRUIT VEG AND BUTCHER,Gungahlin,Food and drinks,"We are family business in Gungahlin that offers Halal butcher, international groceries and frozen seafood, veggies and Paratha. We also sell fresh sugarcane juice and fresh squeezed orange juice, local fruit and veggies.",134/54 Ernest Cavanagh St
Neutral Grounds,Belconnen,Food and drinks,"Neutral Grounds is a family owned and operated Cafe and Coffee wholesaler. Serving classic cafe style foods and speciality roasted coffee.

With over 15 years of wholesaling experience , we are well placed to support and deliver to your existing business or your coffee needs for home or the office",2-47 Nettlefold ST
BEST EXHAUST,Kaleen,Retail,"Importers of the world's best exhaust systems and performance parts, from countries like Germany, Italy, the UK, the USA and Japan. Catering for all cars from Minis to Lamborghinis, Best Exhaust was founded in 2009 and now exports to New Zealand. Online sales and advice.",Maribyrnong Ave
Grainger Gallery,Fyshwick,Retail,"Grainger Gallery is an art gallery in the heart of Canberra’s revitalised Dairy Rd Precinct, Fyshwick. Established by artist, Kacy Grainger, as a space for experiencing, making and processing art, the Grainger Gallery showcases a strong stable of nationally renowned artists. We can all be patrons.","Building 3.3, 1 DairyRd"
XIAN FAMOUS FOOD DICKSON,Dickson,Food and drinks,The best handmade noodles in Canberra!,4-14 Woolley Street
The Book Cow,Kingston,Retail,"We are Canberra's newest independent, local bookshop open in the heart of Kingston opposite Green Square.

We are family run and sell ""pages for all ages"" - new books for kids, adults and teenagers from the latest releases, to poetry, local authors, the classics and everything in between.",47 Jardine Street
Belluci's Manuka,Manuka,Food and drinks,"Little Italy in Manuka with good food, good wine and good friends",Cnr Franklin and Furneaux Street
"Express Travel Services Pty Ltd.,",Nicholls,Accommodation,"Airticket, hotel accommodations",56 Lexcen Avenue
Love Letters CBR,Ngunnawal,Retail,"LOVE LETTERS CBR is your one stop letter hire shop!
We are Canberra's largest supplier of light up letters, numbers and symbols.
Give your event the wow factor, make your hashtag work for you at your next corporate function or provide a unique prop for photos, backdrops at your party or wedding.",34 Honyong cres
Gold Creek Country Club,Nicholls,Things to do,"Gold Creek Country Club is one of Canberra's Premier Golfing Destinations.
Located in Nicholls, our golf course provides an enjoyable experience for both serious and recreational players. We also have the ACT's largest grassed Driving Range which is open to the public during daylight hours.",50 Curran Drive
Otto's Kiosk Cafe,Acton,Food and drinks,"Otto's Kiosk Cafe is proudly serving up Delano Specialty Coffee to go alongside our large selection of sweet treats, fresh paninis, salads, bagels and other snacks.
For easy, delicious and on-the-go options (plus unforgettable coffee) our friendly staff have you covered!
Come and check us out.","Level 1, 154 University Avenue, Di Riddell Student Centre, Australian National University"
BD Dine,Harrison,Food and drinks,Authentic Bangladesh and Sub-continent Cuisine. We prepare our food from scratch and serve freshly cooked food.,82/170 Flemington Road
Carpet Factory,Fyshwick,Retail,"Carpet Factory is Canberra's longest running owner operated flooring store & the only Canberra retailer producing their own brands of market beating quality flooring at wholesale pricing. For rugs, carpets, hybrids & timber floors, vinyl, carpet tiles & much more... Supply only or fully installed.",67 Wollongong Street
Temporada,Canberra,Food and drinks,"Temporada is a casual restaurant and bar on the fringe of Canberra’s CBD.
Our menu is fresh, seasonal and focused around the charcoal grill, boasting produce from local farmers and suppliers.
Our wine list is concise and dynamic, featuring wines from some of the finest boutique winemakers.",15 Moore St
Wattlebird Canberra,Holt,Things to do,Come along and make a batch of traditional olive oil rich soap in the Wattlebird Canberra Soap Kitchen. In our workshops you will make your very own batch of skin loving soap to take home. A fun experience to try a new skill or a perhaps catch up with friends to try something new!,"Shop 1, 14-16 Holt Place"
Styledge By Janie,Fisher,Personal care,"Janie Allen is a trained image consultant and her mission in life is to help women project their most confident, attractive and authentic self.
She believes that we are all unique and she loves to teach women how to love the skin they’re in, embrace their shape and dress the body they have today.",12 Tingha Pl
artKids Canberra,Turner,Things to do,artKids offers school holiday and after-school art and drawing programs for primary school children and teens. Our classes focus on building creative confidence through teaching art and drawing skills and techniques. We explore different art mediums and artists in our varied programs.,"Basement, 17 Condamine Street"
My Cafe,Griffith,Food and drinks,"Cafe serving modern Australian cuisine .A[[ day breakfast, Lunch and afternoon tea. Fully licensed with vegan ,vegetarian and take away available.",1/22 Franklin street Manuka
Mani asian supermarket,Gungahlin,Food and drinks,"We sell various range of asian food and drinks, including seasoning, frozen dumplings, instant noodles and Japanese snacks. You can find everything you need here when cooking a eastern asian recipe.",100 gungahlin place
Phoebe Porter,Braddon,Retail,"Phoebe Porter is a Contemporary Jeweller who successfully combines industrial materials precious elements using her refined hand skills, developed over twenty years of practice. Her studio is open by appointment where visitors can purchase a range of her striking handmade jewellery.","Studio 101-102, Gorman Arts Centre, 55 Ainslie Ave"
Johneys Kitchen,Wanniassa,Food and drinks,Chinese takeout,Shop 4 Erindale Shopping Centre
Fortune Box,Gungahlin,Food and drinks,Chinese Food,114/43 Hibberson St
Arabella Takeaway,Canberra,Food and drinks,"Coffee, Snacks and Meals
(Fresh Pastries, Meals, Pides, Gozleme, Kebabs, Sweets, Fudge)",2/ 28 University Avenue
Wren & Rabbit Interiors,Pialligo,Retail,"A carefully curated selection of homewares and accessories, including modern and antique items sourced from Indonesia, India, Mexico and Morocco. Every item in store has been hand-picked, with a focus on supporting artisans and boutique creators.","The Plot, 12 Beltana Rd"
The Highball Express,Canberra,Food and drinks,"The Highball Express is your private oasis in the heart of the city. With a laid-back tropical feel, streams of natural sunlight and a big, breezy balcony this venue is the perfect backdrop for a night of fun, frivolity and first-class service.","82 Alinga Street, Access via Odgers Lane"
The Scholar Chinese Seafood Restaurant,Dickson,Food and drinks,The best Yumcha and live seafood Chinese restaurant at Canberra.,23 WOOLLEY ST
Gloww Beauty,Gungahlin,Personal care,"At Gloww we specialise in waxing, spray tanning, facial and body treatments, eyelash extensions, tinting, manicures, and pedicures.

We invite you to come in and experience the Gloww treatment in a comfortable, hygienic and professional salon environment.","Level 1, 30 Hibberson Street (Marketplace Gungahlin)"
Sancho's Dirty Laundry,Braddon,Retail,"Sancho's Dirty Laundry are pretty big beans of keen in supporting independent brands, both local & worldwide, as well as the artists & designers behind them. The store range includes clothing labels, graphic artist supplies, vinyl art toys, zines, books, magazines, stickers, accessories, art & more.","Palko Building, Unit G20, 27 Lonsdale Street"
Hanok Korean BBQ Dickson,Dickson,Food and drinks,"Best Korean BBQ In the town, enjoy the wagyu on the charcoal",6/28 Challis St
Balloon Aloft Canberra,Pialligo,Things to do,"Book with Balloon Aloft for a magical hot air balloon flight over Canberra. We offer a unique view of the city, lake and surrounding landscape. Flights are approximately 45-60 minutes and finish with a champagne celebration. Your memories will last a lifetime.",19 Kallaroo Road
Foodworks Holder ACT,Holder,Food and drinks,Supermarket,3/40 holder place
Raku Dining,Canberra,Food and drinks,"RAKU is a sleek, modern Japanese bar + restaurant offering a unique dining experience. Head Sushi Chef, Hao Chen's fine art will be at the forefront of the new Canberra venue, which will also feature a traditional robata grill.","ShopDG36C, 148 Bunda St"
Toyworld Fyshwick & Toyworld Belconnen,Fyshwick,Retail,Toyworld Canberra is where the Best Toys & Hobbies come from. Located in Fyshwick & Belconnen we are a Toy & Hobby Specialist store with all the big brands and expert staff to support your needs. Our Multiple Award winning LEGO Shop is Amazing.,5 Barrier St Fyshwick
Koku Super Kare,Belconnen,Food and drinks,A traditional Japanese-style curry house who specialises in Japanese curry rice with a variety of toppings,Benjamin Way
Char Char Thai,Acton,Food and drinks,"Char Char offers delicious Malaysian and Thai inspired dishes and drinks to compliment any meal.
",Shop154-B2 Joplin Lane
CRUST ERINDALE,Wanniassa,Food and drinks,Best Gourmet Pizza in Town.,9B/20 Gratside Street
La Beaute Hair Salon / Barberology,Phillip,Personal care,"Our Team of stylists are dedicated to offering quality of service and maintaining the integrity of your hair. We take pride in listening to you and designing your hair and look accordingly. We offer precise, customized cutting, finishing and color applications designed to complement you.",Shop45 Keltie st
Turkish Kebab and Pizza Belconnen,Belconnen,Food and drinks,"Turkish Kebab and Pizza Belconnen is one of the well known Business in Belconnen. We always provide our best food with best service to all our customers. This Business always been nominated as a local legend by our food business partner.
We warmly welcome new customers with lots of extras..(:",1 Rae Street
ATNL Nails Spa and Beauty,Canberra,Personal care,"At ATNL Nails Spa Beauty salon we provide services at affordable prices. We are providing nail care services, manicures, pedicures, spa treatments, SNS, acrylic, gel nails etc",SHOP FG11 - 148 BUNDA STREET CANBERRA CITY CANBERRA ACT 2601
Curves Weston,Weston,Personal care,"Women only gym - we offer a fun, fast, effective workout for women of all ages, shapes and sizes. Non-judgemental, supportive environment. With a Coach on the circuit at ALL times to motivate, compel, and keep you working out safely. You won't regret joining Curves Weston","Upstairs, Cooleman Court Shopping Centre"
Kokomo’s,City,Food and drinks,"Kokomo's provides ingredient focused, pan-Asian eats and over the top Tiki cocktails in a lively two storey setting right in the heart of Canberra CBD.

Winning Canberra’s favourite nightlife venue for 3 years running its the tropical escape you have been looking for!",1 Genge Street
SoLita Pizzeria & Pasta Bar,Canberra,Food and drinks,"SoLita satisfies all your Italian cravings. Offering a large selection of wood fired pizza, pasta, entrees, salads and main meals in the heart of the city.","Unit 12 Baileys Corner, 143 London Cct"
Roy Lum Thai Street Food,Belconnen,Food and drinks,Roy Lum Thai Street Food is a casual walk in Thai cafe offering Hot & Cold Food as well as drink options,10/32 Lathlain st
Dendy Cinemas Canberra,Canberra,Food and drinks,"Located within the iconic Canberra Centre North Quarter, Dendy Canberra offers you a world-class cinema experience.

There’s more to love at Dendy Canberra – we’ve got fifteen screens, including two Premium making us the biggest cinema in the ACT and the home of quality cinema.","Level 2 North Quarter, 584 Bunda St"
MOMENT CONCEPT TEA,Canberra,Food and drinks,"Originally started from Sydney. We provided you premium tea and fruit related drinks, using all fresh and local produced ingredients.",SHOP EG01B THE CANBERRA CENTRE. BUNDA ST - Postcode: 2601
Caffe cherrybeans tuggeranong,Greenway,Food and drinks,"Since 2014, we have served best coffee and food in the town.

Caffe Cherry Beans supply in house daily roasted fresh, quality coffee and quality food.


",156 Anketell street
B & B Emporium,Casey,Retail,"Canberra home of Giftware, Homeware & Kitchenware. Located in Kaleen Plaza & Casey Market Town",Unit 16 / 15 Kingsland Pde
Metaphysica,Mitchell,Things to do,"Love escape rooms, puzzles, gaming or virtual reality? Metaphysica is an amazing experience that has all of this and more. Solve puzzles in unique and challenging ways, play with fire, electricity, gravity or time itself in an adventure you will never forget.
",30 Kemble Court
EasiMart Kingston,Kingston,Retail,Easimart is a grocery supermarket located in Kingston.,159/ 45 Eastlake Parade
GUIFENG ZHOU,Fyshwick,Retail,"Welcome to our store in Fyshwick, we have a wide variety of warehouse items in stock and now they are on sale!",68 barrier street
Jimmy’s place,Dickson,Food and drinks,"Jimmy’s place is traditional Hong Kong food. Fresh seafood, great service. well know by Canberra community.",71 woolley st
Stand By Me,Lyons,Food and drinks,"We serve French Toast, Egyptian breakfast Ful Medames, Japanese Savoury pancake Okonomiyaki, splash Avocado, Bacon & Egg Roll, Katsu Burger, eggs your way(Fried, poache, scramble). We also serve coffees, Tea, milkshakes, softdrinks, juices, smoothies and many more....",1/9 Lyons Place
Bruceworks,Pialligo,Retail,"Bruceworks is a one stop shop for all your landscaping, water feature and remodelling needs inside and out. We are open 7 days a week and offer sound advice on all aspects . Bruceworks is also a local distributor of ShedsnHomes providing services to supply or supply and build your new structure.",Flat 1/16 Kallaroo Road
Centrepiece creol,Dickson,Retail,"Located in Dickson Shopping Centre our stock a unique collection of gifts,accessories and homewares from around the world. We carry a wide range of jewellery from fashion to semi precious gemstones. We are also stock beautiful handbags and scarves. We are the one stop shop for all gifts.",Shop 5 Dickson Chambers
DaMingle,Gungahlin,Food and drinks,"Coffee, breakfast, got food, cakes, desserts, beverage, coffee beens","Shop10, 46 Hibberson street"
Home Said,Kingston,Retail,"Home Said is a friendly gift shop located at Kingston Canberra. We offer a wide range of quality products including homeware,art, diffuser, kitchenware, toys.","Shop 7, The Eyre Street Market"
Ogawa Japanese cuisine,Gungahlin,Food and drinks,Japanese restaurant in gungahlin.,102/54 ernest cavanagh st
Canberra Hopper Hut,Franklin,Food and drinks,"Canberra Hopper Hut brings a range of authentic Sri Lankan food to Canberra community. Our aim to offer popular Sri Lankan dishes with light to strong flavors and whole goodness of spices such as cinnamon, pepper, cloves, cardamom, turmeric, coriander, fennel, ginger, garlic etc.. in our dishes.","Shop 82, 2 Manning Clark Crescent"
Can Tho Vietnamese and Chinese Restaurant,Belconnen,Food and drinks,Over 10 years serving authentic Vietnamese and Chinese cuisine,1/38 Weedon Close
Serenity by G,Bruce,Retail,"Our small establishment is focused on achieving high standards of quality in our products. We aim to provide our customers with the experience and comfort they are looking for when they use and purchase our merchandise, and we thrive on meeting our customers expectations - creating serenity.",19/31 Thynne street
Sunday in Canberra,Gungahlin,Food and drinks,Sunday in Canberra is a cosy casual brunch venue where you can spend a lovely morning with a friend over our locally roasted Black Mountain coffee and a selection of sumptuous breakfast and lunch selections.,103/54. Ernest Cavanagh Street
Lokma Turkish Cuisine Pty Ltd,Casey,Food and drinks,Our team brings years of experience to help make Lokma Turkish Cuisine Canberra's favorite Turkish Takeaway.,"Shop 2A, 15 Kingsland Parade"
Onred,Red Hill,Food and drinks,In 2008 Onred was established with a vision to provide best culinary fine dining experience overlooking Canberra from Redhill Lookout.,"50 Redhil Drive, Redhill lookout"
Dollar Choice,Amaroo,Retail,"Variety Discount shop in Amaroo. Including cards,gift,homeware,pet,hardware,kitchen,glass,homeware decoration ect..","Marquee Comm4, 12 Pioneer St"
The Hungry Buddha,Belconnen,Food and drinks,"'From the Himalayan range to the plains and jungles of the Terai, Nepal is a land of contrasts. The country consists of many different ethnic groups, each with their own food specialties. Then there are cultural influences from India in the south and Tibet to the north.",8/8 Luxton St
Love Food Catering,Fyshwick,Food and drinks,Best Vietnamese salad in town. Must try!!!,Stall 16 - (Niche Markets) 36 Mildura Street
Belconnen Arts Centre,Belconnen,Retail,"Belco Arts is a place to celebrate, undertake creative journeys, share stories and make memories. We fuel a love of and engagement in the arts across a range of arts practice, including dance, music, visual arts, theatre and more.",118 Emu Bank
Mr warehouse,Mitchell,Food and drinks,"Mr warehouse
whole sale & Retail of cleaning supplies ,Household, Health care, Food Packaging and Grocery supply",2/84 Hoskins street
Gongcha gungahlin pty ltd,Gungahlin,Food and drinks,"Founded in Kaoshiung, Taiwan (China SAR) in 2006, Gong cha is the fastest growing tea brand in Asia with over 1500 stores in over 20 regions worldwide, as well as being the first tea franchise to operate on a world-class luxury cruise liner, the Majestic Princess.",shop 14A/46 hibberson st
BESTORE,Mitchell,Retail,"Bestore, Best Asian Shopping | Best&Biggest Shop in Canberra
Everything for Korean/Japanese recipes. From Quality Wagyu to Dumpling&Noodles.",109 Flemington Road
Chatime Belconnen,Belconnen,Food and drinks,"Chatime has been serving millions of customers with their favorite cup of tea, making it part of every occasion, celebration or simply cupping a busy day.

GIft cards are available in any amount that you want ($20, $40, even $100).
","Level 3 K322, Westfield Belconnen Shopping Center, Benjamin Way"
